Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Europe,United Kingdom,2012,Backpackers,681885000,93838,80.4
Europe,United Kingdom,2012,Nonbackpackers,2337837000,479339,33.8
Asia,Korea,2012,Holiday,533951000,107484,51.6
Asia,Korea,2012,Visiting friends and relatives,129179000,27746,40.5
Asia,Korea,2012,Business,91715000,17308,13.1
Asia,Korea,2012,Education,378495000,18517,171.5
Asia,Korea,2012,Employment,76292000,6111,186.4
Asia,Korea,2012,Otherreason,108153000,11323,144.4
Asia,Korea,2012,Backpackers,298579000,32899,134.2
Asia,Korea,2012,Nonbackpackers,1019206000,155590,54.2
Oceania,New Zealand,2013,Holiday,956330000,411064,11.8
Oceania,New Zealand,2013,Visiting friends and relatives,552252000,368796,12.2
Oceania,New Zealand,2013,Business,413524000,205968,7.6
Oceania,New Zealand,2013,Education,82221000,15175,60.3
Oceania,New Zealand,2013,Employment,216305000,37171,78.8
Oceania,New Zealand,2013,Otherreason,90047000,47003,8.1
Oceania,New Zealand,2013,Backpackers,80212000,28779,22.5
Oceania,New Zealand,2013,Nonbackpackers,2230468000,1056397,13.7
Asia,Japan,2013,Holiday,777705000,195319,23.5
Asia,Japan,2013,Visiting friends and relatives,79816000,31859,12.8
Asia,Japan,2013,Business,124690000,32421,15
Asia,Japan,2013,Education,246420000,22078,112.7
Asia,Japan,2013,Employment,0,0,0
Asia,Japan,2013,Otherreason,0,0,0
Asia,Japan,2013,Backpackers,193689000,28131,91
Asia,Japan,2013,Nonbackpackers,1118268000,268578,23.8
Asia,Singapore,2013,Holiday,391522000,157079,9.1
Asia,Singapore,2013,Visiting friends and relatives,142189000,52427,14.7
Asia,Singapore,2013,Business,163295000,57299,6.1
Asia,Singapore,2013,Education,264099000,14818,110.5
Asia,Singapore,2013,Employment,0,0,0
Asia,Singapore,2013,Otherreason,0,0,0
Asia,Singapore,2013,Backpackers,49568000,14140,21.4
Asia,Singapore,2013,Nonbackpackers,1004402000,282654,16.7
Asia,China,2013,Holiday,1500730000,350070,9.1
Asia,China,2013,Visiting friends and relatives,476277000,122389,55.9
Asia,China,2013,Business,349226000,62751,20.3
Asia,China,2013,Education,2156881000,93628,168.6
Asia,China,2013,Employment,169613000,13961,137.1
Asia,China,2013,Otherreason,130729000,21909,36.8
Asia,China,2013,Backpackers,150824000,16650,68.6
Asia,China,2013,Nonbackpackers,4632632000,648058,44.2
Americas,United States,2013,Holiday,998274000,190635,18.8
Americas,United States,2013,Visiting friends and relatives,381371000,112097,21.3
Americas,United States,2013,Business,646203000,109917,16.5
Americas,United States,2013,Education,258188000,21622,75.8
Americas,United States,2013,Employment,186556000,16930,125.4
Americas,United States,2013,Otherreason,81633000,21037,13.4
Americas,United States,2013,Backpackers,269321000,39498,58.5
Americas,United States,2013,Nonbackpackers,2282904000,432739,22
Europe,United Kingdom,2013,Holiday,1495337000,246932,47
Europe,United Kingdom,2013,Visiting friends and relatives,992591000,264597,28.6
Europe,United Kingdom,2013,Business,284169000,55107,18.2
Europe,United Kingdom,2013,Education,102539000,9732,105.6
Europe,United Kingdom,2013,Employment,442302000,30603,146.7
Europe,United Kingdom,2013,Otherreason,87665000,14449,25.3
Europe,United Kingdom,2013,Backpackers,867742000,111824,85.4
Europe,United Kingdom,2013,Nonbackpackers,2536860000,509595,32.4
Asia,Korea,2013,Holiday,553601000,106731,47.6
Asia,Korea,2013,Visiting friends and relatives,77093000,28659,24.6
Asia,Korea,2013,Business,77279000,15694,19.2
Asia,Korea,2013,Education,312695000,16553,167.1
Asia,Korea,2013,Employment,0,0,0
Asia,Korea,2013,Otherreason,50849000,9872,56.3
Asia,Korea,2013,Backpackers,252139000,26383,140.1
Asia,Korea,2013,Nonbackpackers,887052000,157062,43.9
Oceania,New Zealand,2014,Holiday,996021000,425069,11.1
Oceania,New Zealand,2014,Visiting friends and relatives,620749000,395889,12
Oceania,New Zealand,2014,Business,390830000,207296,6.8
Oceania,New Zealand,2014,Education,98971000,17517,45.2
Oceania,New Zealand,2014,Employment,236065000,38028,78.8
Oceania,New Zealand,2014,Otherreason,95685000,50427,6.4
Oceania,New Zealand,2014,Backpackers,84878000,29338,24.4
Oceania,New Zealand,2014,Nonbackpackers,2353443000,1104888,12.9
Asia,Japan,2014,Holiday,766745000,193212,21.2
Asia,Japan,2014,Visiting friends and relatives,80553000,32389,14
Asia,Japan,2014,Business,179916000,37451,17.3
Asia,Japan,2014,Education,250786000,20403,114
Asia,Japan,2014,Employment,0,0,0
Asia,Japan,2014,Otherreason,0,0,0
Asia,Japan,2014,Backpackers,167430000,24667,84
Asia,Japan,2014,Nonbackpackers,1197539000,274522,23.5
